Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied
ORD00002000,PROD00002000,USER00002000,31-08-2024,20-08-2024,Books,332.72,1,Changed mind,Returned,-11,33,Male,City33,Credit Card,Standard,31.61
ORD00002002,PROD00002002,USER00002002,29-08-2023,20-12-2024,Clothing,158.02,5,Defective,Returned,479,31,Male,City60,PayPal,Next-Day,30.36
ORD00002003,PROD00002003,USER00002003,20-06-2023,07-03-2023,Home,122.15,2,Defective,Returned,13,29,Female,City2,Gift Card,Express,18.71
ORD00002004,PROD00002004,USER00002004,03-08-2023,20-05-2024,Electronics,482.22,3,Wrong item,Returned,439,22,Female,City60,Debit Card,Express,28.88
ORD00002007,PROD00002007,USER00002007,11-01-2024,15-03-2023,Toys,83.23,3,Wrong item,Returned,-597,34,Female,City53,PayPal,Next-Day,17.58
ORD00002008,PROD00002008,USER00002008,14-07-2023,14-09-2023,Home,167.63,1,Defective,Returned,62,19,Female,City53,PayPal,Standard,17.7
ORD00002010,PROD00002010,USER00002010,17-04-2024,13-12-2023,Electronics,106.54,5,Not as described,Returned,-126,25,Female,City14,Debit Card,Next-Day,22.27
ORD00002011,PROD00002011,USER00002011,02-06-2024,01-07-2023,Clothing,391.61,3,Not as described,Returned,-395,41,Female,City84,Gift Card,Standard,4.67
ORD00002015,PROD00002015,USER00002015,22-07-2024,15-10-2023,Clothing,443.96,1,Not as described,Returned,-281,56,Female,City79,Gift Card,Next-Day,7.09
ORD00002016,PROD00002016,USER00002016,28-04-2023,29-05-2024,Electronics,395.66,2,Wrong item,Returned,397,57,Male,City23,PayPal,Standard,49
ORD00002017,PROD00002017,USER00002017,04-06-2023,18-04-2024,Toys,50.38,3,Changed mind,Returned,378,18,Female,City37,Gift Card,Express,43.03
ORD00002018,PROD00002018,USER00002018,07-02-2023,16-05-2023,Home,195.11,4,Not as described,Returned,-47,54,Male,City36,Credit Card,Express,8.12
ORD00002019,PROD00002019,USER00002019,12-10-2024,12-04-2023,Clothing,51.47,3,Not as described,Returned,-372,65,Female,City22,Debit Card,Standard,28.6
ORD00002020,PROD00002020,USER00002020,25-03-2023,22-11-2023,Clothing,92.97,3,Defective,Returned,242,37,Male,City8,Gift Card,Express,28.95
ORD00002022,PROD00002022,USER00002022,20-05-2023,30-06-2024,Books,434.47,5,Not as described,Returned,407,20,Female,City25,Debit Card,Next-Day,10.6
ORD00002027,PROD00002027,USER00002027,29-04-2023,02-10-2024,Clothing,328.67,1,Changed mind,Returned,287,48,Male,City5,Gift Card,Next-Day,4.43
ORD00002030,PROD00002030,USER00002030,24-10-2024,25-07-2023,Books,439.37,4,Defective,Returned,-457,24,Female,City27,Credit Card,Express,41.61
ORD00002033,PROD00002033,USER00002033,31-10-2023,14-07-2023,Electronics,114.31,3,Wrong item,Returned,-109,39,Female,City97,Credit Card,Express,4.47
ORD00002035,PROD00002035,USER00002035,09-04-2023,31-05-2023,Clothing,138.54,4,Wrong item,Returned,-96,24,Male,City76,Debit Card,Express,12.14
ORD00002036,PROD00002036,USER00002036,13-01-2024,01-09-2024,Electronics,315.58,2,Not as described,Returned,-4,21,Male,City56,Gift Card,Next-Day,12.15
ORD00002037,PROD00002037,USER00002037,29-09-2023,28-08-2023,Home,421.6,5,Defective,Returned,-32,52,Female,City76,Gift Card,Next-Day,16.92
ORD00002038,PROD00002038,USER00002038,08-03-2023,23-05-2023,Electronics,480.7,3,Defective,Returned,-72,33,Male,City38,Credit Card,Express,48.51
ORD00002039,PROD00002039,USER00002039,13-11-2023,06-09-2023,Toys,8.73,4,Wrong item,Returned,-157,68,Male,City33,Debit Card,Next-Day,22.07
ORD00002042,PROD00002042,USER00002042,31-08-2024,25-09-2024,Home,103.21,4,Defective,Returned,25,41,Female,City19,Debit Card,Express,11.13
ORD00002044,PROD00002044,USER00002044,16-11-2023,31-12-2024,Home,434.11,5,Wrong item,Returned,411,19,Female,City56,Debit Card,Next-Day,31.17
ORD00002048,PROD00002048,USER00002048,02-10-2023,15-05-2024,Electronics,374.13,2,Not as described,Returned,460,39,Male,City56,PayPal,Express,43.49
ORD00002051,PROD00002051,USER00002051,03-08-2024,18-12-2024,Clothing,114.68,2,Wrong item,Returned,285,49,Male,City59,PayPal,Next-Day,16.91
ORD00002057,PROD00002057,USER00002057,09-07-2023,02-06-2023,Electronics,491.06,2,Not as described,Returned,-213,18,Female,City36,Gift Card,Next-Day,28.28
ORD00002059,PROD00002059,USER00002059,15-01-2024,04-03-2023,Clothing,336.83,3,Defective,Returned,-287,27,Male,City41,Credit Card,Next-Day,46.79
ORD00002064,PROD00002064,USER00002064,28-06-2023,29-03-2023,Electronics,426.64,4,Changed mind,Returned,-91,49,Male,City14,Credit Card,Next-Day,1.35
ORD00002067,PROD00002067,USER00002067,25-11-2024,25-09-2023,Books,38.99,1,Wrong item,Returned,-427,37,Male,City56,Gift Card,Standard,2.27
ORD00002068,PROD00002068,USER00002068,04-06-2023,22-03-2024,Clothing,341.44,3,Defective,Returned,351,41,Male,City21,PayPal,Next-Day,43.01
ORD00002069,PROD00002069,USER00002069,23-11-2024,02-06-2023,Home,357,3,Changed mind,Returned,-656,49,Female,City20,PayPal,Next-Day,1.69
ORD00002070,PROD00002070,USER00002070,23-05-2024,13-05-2023,Books,475.03,3,Defective,Returned,-376,42,Male,City100,Debit Card,Next-Day,12.99
ORD00002071,PROD00002071,USER00002071,27-07-2023,01-09-2023,Clothing,403.24,5,Wrong item,Returned,-199,36,Male,City1,Gift Card,Express,9.63
ORD00002072,PROD00002072,USER00002072,09-03-2024,08-10-2024,Books,299.26,3,Not as described,Returned,-24,64,Female,City75,Gift Card,Standard,31.68
ORD00002077,PROD00002077,USER00002077,09-08-2023,07-06-2024,Home,244.76,1,Defective,Returned,302,53,Female,City86,Gift Card,Express,47.38
ORD00002078,PROD00002078,USER00002078,10-02-2023,08-01-2024,Toys,470.36,1,Defective,Returned,304,34,Male,City67,Gift Card,Next-Day,21.25
ORD00002081,PROD00002081,USER00002081,17-01-2023,21-09-2023,Books,37.79,4,Wrong item,Returned,247,58,Female,City24,Credit Card,Next-Day,27.71
