Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied
ORD00002000,PROD00002000,USER00002000,2024-08-31,2024-08-20,Books,332.72,1,Changed mind,Returned,-11.0,33,Male,City33,Credit Card,Standard,31.61
ORD00002001,PROD00002001,USER00002001,2023-12-04,2024-08-29,Home,469.97,2,,Not Returned,,34,Male,City63,Credit Card,Next-Day,33.11
ORD00002002,PROD00002002,USER00002002,2023-08-29,2024-12-20,Clothing,158.02,5,Defective,Returned,479.0,31,Male,City60,PayPal,Next-Day,30.36
ORD00002003,PROD00002003,USER00002003,2023-06-20,2023-03-07,Home,122.15,2,Defective,Returned,13.0,29,Female,City2,Gift Card,Express,18.71
ORD00002004,PROD00002004,USER00002004,2023-08-03,2024-05-20,Electronics,482.22,3,Wrong item,Returned,439.0,22,Female,City60,Debit Card,Express,28.88
ORD00002005,PROD00002005,USER00002005,2024-10-18,2024-08-29,Toys,31.31,2,,Not Returned,,56,Male,City93,Gift Card,Standard,4.06
ORD00002006,PROD00002006,USER00002006,2024-12-26,2024-08-29,Electronics,404.06,3,,Not Returned,,44,Male,City47,Credit Card,Next-Day,15.77
ORD00002007,PROD00002007,USER00002007,2024-01-11,2023-03-15,Toys,83.23,3,Wrong item,Returned,-597.0,34,Female,City53,PayPal,Next-Day,17.58
ORD00002008,PROD00002008,USER00002008,2023-07-14,2023-09-14,Home,167.63,1,Defective,Returned,62.0,19,Female,City53,PayPal,Standard,17.7
ORD00002009,PROD00002009,USER00002009,2023-03-13,2024-08-29,Home,302.05,3,,Not Returned,,38,Male,City80,Debit Card,Next-Day,12.53
ORD00002010,PROD00002010,USER00002010,2024-04-17,2023-12-13,Electronics,106.54,5,Not as described,Returned,-126.0,25,Female,City14,Debit Card,Next-Day,22.27
ORD00002011,PROD00002011,USER00002011,2024-06-02,2023-07-01,Clothing,391.61,3,Not as described,Returned,-395.0,41,Female,City84,Gift Card,Standard,4.67
ORD00002012,PROD00002012,USER00002012,2023-06-07,2024-08-29,Electronics,201.88,2,,Not Returned,,33,Male,City83,Debit Card,Express,45.17
ORD00002013,PROD00002013,USER00002013,2024-09-27,2024-08-29,Electronics,337.71,3,,Not Returned,,33,Female,City16,Credit Card,Express,5.31
ORD00002014,PROD00002014,USER00002014,2024-12-12,2024-08-29,Toys,431.61,1,,Not Returned,,37,Male,City51,Credit Card,Standard,16.1
ORD00002015,PROD00002015,USER00002015,2024-07-22,2023-10-15,Clothing,443.96,1,Not as described,Returned,-281.0,56,Female,City79,Gift Card,Next-Day,7.09
ORD00002016,PROD00002016,USER00002016,2023-04-28,2024-05-29,Electronics,395.66,2,Wrong item,Returned,397.0,57,Male,City23,PayPal,Standard,49.0
ORD00002017,PROD00002017,USER00002017,2023-06-04,2024-04-18,Toys,50.38,3,Changed mind,Returned,378.0,18,Female,City37,Gift Card,Express,43.03
ORD00002018,PROD00002018,USER00002018,2023-02-07,2023-05-16,Home,195.11,4,Not as described,Returned,-47.0,54,Male,City36,Credit Card,Express,8.12
ORD00002019,PROD00002019,USER00002019,2024-10-12,2023-04-12,Clothing,51.47,3,Not as described,Returned,-372.0,65,Female,City22,Debit Card,Standard,28.6
ORD00002020,PROD00002020,USER00002020,2023-03-25,2023-11-22,Clothing,92.97,3,Defective,Returned,242.0,37,Male,City8,Gift Card,Express,28.95
ORD00002021,PROD00002021,USER00002021,2024-07-28,2024-08-29,Books,102.1,5,,Not Returned,,51,Male,City43,PayPal,Standard,32.15
ORD00002022,PROD00002022,USER00002022,2023-05-20,2024-06-30,Books,434.47,5,Not as described,Returned,407.0,20,Female,City25,Debit Card,Next-Day,10.6
ORD00002023,PROD00002023,USER00002023,2023-07-20,2024-08-29,Clothing,44.18,4,,Not Returned,,42,Female,City70,Debit Card,Express,7.59
ORD00002024,PROD00002024,USER00002024,2024-03-24,2024-08-29,Clothing,498.14,3,,Not Returned,,47,Male,City50,Credit Card,Express,23.13
ORD00002025,PROD00002025,USER00002025,2023-09-18,2024-08-29,Clothing,90.75,3,,Not Returned,,21,Male,City26,PayPal,Express,38.39
ORD00002026,PROD00002026,USER00002026,2023-02-07,2024-08-29,Electronics,163.79,1,,Not Returned,,47,Female,City18,Gift Card,Express,7.25
ORD00002027,PROD00002027,USER00002027,2023-04-29,2024-10-02,Clothing,328.67,1,Changed mind,Returned,287.0,48,Male,City5,Gift Card,Next-Day,4.43
ORD00002028,PROD00002028,USER00002028,2023-10-05,2024-08-29,Toys,97.04,3,,Not Returned,,41,Female,City48,Debit Card,Next-Day,7.01
ORD00002029,PROD00002029,USER00002029,2024-03-05,2024-08-29,Electronics,325.09,2,,Not Returned,,64,Female,City17,PayPal,Next-Day,21.63
ORD00002030,PROD00002030,USER00002030,2024-10-24,2023-07-25,Books,439.37,4,Defective,Returned,-457.0,24,Female,City27,Credit Card,Express,41.61
ORD00002031,PROD00002031,USER00002031,2023-01-12,2024-08-29,Books,161.55,2,,Not Returned,,64,Male,City81,Gift Card,Express,20.35
ORD00002032,PROD00002032,USER00002032,2024-06-26,2024-08-29,Electronics,200.61,4,,Not Returned,,60,Female,City97,Gift Card,Standard,15.72
ORD00002033,PROD00002033,USER00002033,2023-10-31,2023-07-14,Electronics,114.31,3,Wrong item,Returned,-109.0,39,Female,City97,Credit Card,Express,4.47
ORD00002034,PROD00002034,USER00002034,2024-10-12,2024-08-29,Home,39.86,4,,Not Returned,,51,Male,City45,Debit Card,Next-Day,38.55
ORD00002035,PROD00002035,USER00002035,2023-04-09,2023-05-31,Clothing,138.54,4,Wrong item,Returned,-96.0,24,Male,City76,Debit Card,Express,12.14
ORD00002036,PROD00002036,USER00002036,2024-01-13,2024-09-01,Electronics,315.58,2,Not as described,Returned,-4.0,21,Male,City56,Gift Card,Next-Day,12.15
ORD00002037,PROD00002037,USER00002037,2023-09-29,2023-08-28,Home,421.6,5,Defective,Returned,-32.0,52,Female,City76,Gift Card,Next-Day,16.92
ORD00002038,PROD00002038,USER00002038,2023-03-08,2023-05-23,Electronics,480.7,3,Defective,Returned,-72.0,33,Male,City38,Credit Card,Express,48.51
ORD00002039,PROD00002039,USER00002039,2023-11-13,2023-09-06,Toys,8.73,4,Wrong item,Returned,-157.0,68,Male,City33,Debit Card,Next-Day,22.07
ORD00002040,PROD00002040,USER00002040,2023-09-15,2024-08-29,Home,83.51,4,,Not Returned,,43,Female,City44,PayPal,Next-Day,48.33
ORD00002041,PROD00002041,USER00002041,2024-02-23,2024-08-29,Toys,63.84,5,,Not Returned,,58,Female,City39,PayPal,Next-Day,26.26
ORD00002042,PROD00002042,USER00002042,2024-08-31,2024-09-25,Home,103.21,4,Defective,Returned,25.0,41,Female,City19,Debit Card,Express,11.13
ORD00002043,PROD00002043,USER00002043,2024-05-04,2024-08-29,Books,297.23,2,,Not Returned,,29,Female,City41,PayPal,Next-Day,34.15
ORD00002044,PROD00002044,USER00002044,2023-11-16,2024-12-31,Home,434.11,5,Wrong item,Returned,411.0,19,Female,City56,Debit Card,Next-Day,31.17
ORD00002045,PROD00002045,USER00002045,2023-03-17,2024-08-29,Home,85.87,3,,Not Returned,,28,Male,City71,Credit Card,Next-Day,36.96
ORD00002046,PROD00002046,USER00002046,2024-05-01,2024-08-29,Toys,190.61,3,,Not Returned,,37,Male,City63,Credit Card,Standard,37.53
ORD00002047,PROD00002047,USER00002047,2023-11-15,2024-08-29,Toys,439.65,1,,Not Returned,,51,Female,City37,Debit Card,Standard,34.33
ORD00002048,PROD00002048,USER00002048,2023-10-02,2024-05-15,Electronics,374.13,2,Not as described,Returned,460.0,39,Male,City56,PayPal,Express,43.49
ORD00002049,PROD00002049,USER00002049,2024-08-07,2024-08-29,Electronics,121.34,4,,Not Returned,,47,Female,City76,Debit Card,Express,0.43
ORD00002050,PROD00002050,USER00002050,2023-03-29,2024-08-29,Books,328.62,4,,Not Returned,,36,Male,City38,Gift Card,Standard,41.27
ORD00002051,PROD00002051,USER00002051,2024-08-03,2024-12-18,Clothing,114.68,2,Wrong item,Returned,285.0,49,Male,City59,PayPal,Next-Day,16.91
ORD00002052,PROD00002052,USER00002052,2024-07-25,2024-08-29,Home,337.06,1,,Not Returned,,70,Male,City20,Debit Card,Standard,3.92
ORD00002053,PROD00002053,USER00002053,2023-05-07,2024-08-29,Clothing,487.08,5,,Not Returned,,35,Female,City92,Gift Card,Next-Day,37.36
ORD00002054,PROD00002054,USER00002054,2024-05-16,2024-08-29,Electronics,148.79,1,,Not Returned,,51,Female,City70,Gift Card,Next-Day,48.39
ORD00002055,PROD00002055,USER00002055,2024-02-16,2024-08-29,Home,364.06,3,,Not Returned,,39,Male,City13,Debit Card,Express,23.55
ORD00002056,PROD00002056,USER00002056,2023-07-11,2024-08-29,Books,15.75,5,,Not Returned,,28,Female,City4,Gift Card,Next-Day,18.7
ORD00002057,PROD00002057,USER00002057,2023-07-09,2023-06-02,Electronics,491.06,2,Not as described,Returned,-213.0,18,Female,City36,Gift Card,Next-Day,28.28
ORD00002058,PROD00002058,USER00002058,2023-04-25,2024-08-29,Toys,262.56,5,,Not Returned,,21,Female,City36,Gift Card,Standard,48.97
ORD00002059,PROD00002059,USER00002059,2024-01-15,2023-03-04,Clothing,336.83,3,Defective,Returned,-287.0,27,Male,City41,Credit Card,Next-Day,46.79
